ev:        2859  track:           0 phi: 1020, theta:  91
ev:        2869  track:           0 phi: 3084, theta:  72
ev:        2879  track:           0 phi: 2306, theta:  14
ev:        2889  track:           0 phi: 4609, theta:  55
ev:        2899  track:           0 phi: 1052, theta:   9
ev:        2909  track:           0 phi: 4298, theta:  45
ev:        2919  track:           0 phi: 3276, theta:  60
ev:        2929  track:           0 phi: 1076, theta:  16
ev:        2939  track:           0 phi: 2160, theta: 105
ev:        2949  track:           0 phi:  582, theta:  32
ev:        2959  track:           0 phi: 4052, theta:  26
ev:        2969  track:           0 phi: 3872, theta:  93
ev:        2979  track:           0 phi: 4032, theta:  50
ev:        2989  track:           0 phi: 1404, theta:  31
ev:        2999  track:           0 phi: 1372, theta:  14
ev:        3009  track:           0 phi: 2044, theta:  36
ev:        3019  track:           0 phi: 3136, theta:  69
ev:        3029  track:           0 phi: 4962, theta:  41
ev:        3039  track:           0 phi: 2668, theta:  18
ev:        3049  track:           0 phi: 3148, theta:  11
ev:        3059  track:           0 phi: 1572, theta:  62
ev:        3069  track:           0 phi: 3544, theta:  71
ev:        3079  track:           0 phi: 1832, theta: 106
ev:        3089  track:           0 phi: 4936, theta:  84
ev:        3099  track:           0 phi:  444, theta:   6
ev:        3109  track:           0 phi: 3836, theta:  16
ev:        3119  track:           0 phi: 2924, theta:   5
ev:        3129  track:           0 phi:  332, theta:   9
ev:        3139  track:           0 phi: 4820, theta:  38
ev:        3149  track:           0 phi: 1140, theta:  16
ev:        3159  track:           0 phi: 1748, theta:   7
ev:        3169  track:           0 phi: 4815, theta:  79
ev:        3179  track:           0 phi: 3764, theta:  21
ev:        3189  track:           0 phi: 1632, theta:  91
ev:        3199  track:           0 phi: 2340, theta:  13
ev:        3209  track:           0 phi: 2532, theta:  18
ev:        3219  track:           0 phi:  172, theta:  29
ev:        3229  track:           0 phi: 3720, theta:  91
ev:        3239  track:           0 phi: 2324, theta:  64
ev:        3249  track:           0 phi: 4892, theta:  25
ev:        3259  track:           0 phi: 2765, theta:  20
ev:        3269  track:           0 phi: 4220, theta:  20
ev:        3279  track:           0 phi: 3780, theta:  96
ev:        3289  track:           0 phi: 4432, theta:  81
ev:        3299  track:           0 phi: 1004, theta:  25
ev:        3309  track:           0 phi:  684, theta:  39
ev:        3319  track:           0 phi: 4244, theta:  26
ev:        3329  track:           0 phi: 3372, theta:  21
ev:        3339  track:           0 phi: 2692, theta:  78
ev:        3349  track:           0 phi: 3501, theta:  78
ev:        3359  track:           0 phi: 3804, theta:  44
ev:        3369  track:           0 phi:  844, theta:  96
ev:        3389  track:           0 phi: 1017, theta:  35
ev:        3399  track:           0 phi: 3908, theta:  20
ev:        3409  track:           0 phi: 4412, theta:  18
ev:        3419  track:           0 phi: 1740, theta:  19
ev:        3429  track:           0 phi: 1948, theta:  46
ev:        3439  track:           0 phi:  828, theta:  29
ev:        3449  track:           0 phi: 3624, theta:  70
ev:        3459  track:           0 phi: 2988, theta:  38
ev:        3469  track:           0 phi: 1120, theta:  83
ev:        3479  track:           0 phi:  900, theta:  48
ev:        3499  track:           0 phi: 1748, theta:  73
ev:        3509  track:           0 phi: 4124, theta:   5
ev:        3519  track:           0 phi: 2920, theta:  55
ev:        3529  track:           0 phi: 4099, theta: 106
ev:        3539  track:           0 phi:  808, theta:  76
ev:        3549  track:           0 phi:  948, theta:  15
ev:        3559  track:           0 phi:  340, theta:   8
ev:        3569  track:           0 phi: 1908, theta:  33
ev:        3579  track:           0 phi: 3052, theta:  33
ev:        3589  track:           0 phi: 1132, theta:  37
ev:        3599  track:           0 phi:  825, theta:  63
ev:        3609  track:           0 phi: 4684, theta:  44
ev:        3619  track:           0 phi:  348, theta:   6
ev:        3629  track:           0 phi: 1887, theta:  86
ev:        3639  track:           0 phi: 3784, theta:  78
ev:        3649  track:           0 phi:  924, theta:   9
ev:        3659  track:           0 phi:  462, theta:   8
ev:        3669  track:           0 phi: 2312, theta:  80
ev:        3679  track:           0 phi: 4428, theta:  15
ev:        3689  track:           0 phi:  532, theta:  37
ev:        3699  track:           0 phi: 4954, theta:  40
ev:        3709  track:           0 phi:  284, theta:   8
ev:        3719  track:           0 phi: 1144, theta:  78
ev:        3729  track:           0 phi: 4034, theta:   6
ev:        3739  track:           0 phi: 3036, theta:  51
ev:        3749  track:           0 phi: 1450, theta:  27
ev:        3759  track:           0 phi: 3928, theta:  92
ev:        3769  track:           0 phi:  332, theta:  25
ev:        3779  track:           0 phi: 1364, theta:  36
ev:        3799  track:           0 phi: 2188, theta:  65
ev:        3809  track:           0 phi: 1324, theta:  23
ev:        3819  track:           0 phi: 3992, theta:  69
ev:        3829  track:           0 phi:  952, theta:  54
